"製品品番","製品名","ProductionLine"
"5880086","ｽﾀﾝﾀﾞｰﾄﾞ ﾀﾞﾝﾌﾟﾓｯﾌﾟ40 ﾚｯﾄﾞ X20",
"5907453","ｽﾀﾝﾀﾞｰﾄﾞﾀﾞﾝﾌﾟﾓｯﾌﾟ25 CTN 5X4",
"T40065P","ﾊﾝﾄﾞｿｰﾌﾟﾎﾞﾄﾙﾎﾙﾀﾞｰ(6) 1PX1","OFF"
"T40064P","ｿｰﾌﾟ&ｱﾙｺｰﾙﾎﾞﾄﾙﾎﾙﾀﾞｰ(6) 1PX1","OFF"
"DS138141","ﾊｯﾎﾟｳｾﾝｼﾞｮｳｷ ﾌｫｰﾑ IT 910N 40L",
"5984758","ｼｬﾘｵｽﾀｰｴｸｽﾄﾗｸﾄ26",
"5985161","MTX 900 X1",
"5985232","TASKI ﾂｲｽﾀｰ ﾚｯﾄﾞﾊﾟｯﾄﾞ17 X2",
"5985241","TASKI ﾂｲｽﾀｰ ｲｴﾛｰﾊﾟｯﾄﾞ 17X2",
"5985259","TASKI ﾂｲｽﾀｰ ﾎﾜｲﾄﾊﾟｯﾄﾞ17 X2",
"5985267","TASKI ﾂｲｽﾀｰ ｸﾞﾘｰﾝﾊﾟｯﾄﾞ 17X2",
"5985275","TASKI ﾂｲｽﾀｰ ｸﾞﾘｰﾝﾊﾟｯﾄﾞ 20X2",
"5985283","TASKI ﾂｲｽﾀｰ SCﾊﾟｯﾄﾞ 17X2",
"5985291","TASKI ﾂｲｽﾀｰ SCﾊﾟｯﾄﾞ 20X2",
"5990242","ﾏｲｸﾛｽﾀﾝﾀﾞｰﾄﾞｲｴﾛｰ X20",
"5990251","ﾏｲｸﾛｽﾀﾝﾀﾞｰﾄﾞｸﾞﾘｰﾝ X20",
"5990269","ﾏｲｸﾛｽﾀﾝﾀﾞｰﾄﾞﾌﾞﾙｰ X20",
"5990277","ﾏｲｸﾛｽﾀﾝﾀﾞｰﾄﾞﾚｯﾄﾞ X20",
"24241469","ﾊﾞｷｭﾏｯﾄ120",
"25235685","ﾊﾞｷｭﾏｯﾄ220T CTNX1",
"25919569","ﾊﾞｷｭﾏｯﾄ220T JBMA X1",
"5998914","ｽｳｨﾝｺﾞ455Bｼｬｰﾌﾟ X1",
"5998922","ｽｳｨﾝｺﾞ855B ECO X1",
"5998973","ｼｬﾘｵｽﾀｰ26 X1",
"5999589","TASKI ﾂｲｽﾀｰ ｸﾞﾘｰﾝﾊﾟｯﾄﾞ11 X2",
"5999597","TASKI ﾂｲｽﾀｰ ｸﾞﾘｰﾝﾊﾟｯﾄﾞ13 X2",
"5999618","TASKI ﾂｲｽﾀｰ ｸﾞﾘｰﾝﾊﾟｯﾄﾞ15 X2",
"5999626","TASKI ﾂｲｽﾀｰ ﾚｯﾄﾞﾊﾟｯﾄﾞ15 X2",
"5999634","TASKI ﾂｲｽﾀｰ SGﾊﾟｯﾄﾞ17 X2",
"5999642","TASKI ﾂｲｽﾀｰ SGﾊﾟｯﾄﾞ20 X2",
"5999651","TASKI ﾂｲｽﾀｰ ﾎﾜｲﾄﾊﾟｯﾄﾞ15 X2",
"5999669","TASKI ﾂｲｽﾀｰ ｲｴﾛｰﾊﾟｯﾄﾞ15 X2",
"6001469","ｿﾞﾙﾊﾞX50",
"6008257","TASKI ｲﾝﾃﾘﾊﾟｯﾄﾞ 11",
"6008265","TASKI ｲﾝﾃﾘﾊﾟｯﾄﾞ 13",
"6008273","TASKI ｲﾝﾃﾘﾊﾟｯﾄﾞ 15",
"6008281","TASKI ｲﾝﾃﾘﾊﾟｯﾄﾞ 17",
"6008290","TASKI ｲﾝﾃﾘﾊﾟｯﾄﾞ 20",
"6008409","ｴｱﾌﾞﾚｰﾄﾞV AB12 NICKEL",
"6008417","ｴｱﾌﾞﾚｰﾄﾞV AB12 WHITE",
"6008425","ｴｱﾌﾞﾚｰﾄﾞ DB AB14 GREY",
"6008433","ｴｱﾌﾞﾚｰﾄﾞ DB AB14 WHITE",
"6008441","ｴｱﾌﾞﾚｰﾄﾞW+D Short WD04 LV X1",
"6008450","ｴｱﾌﾞﾚｰﾄﾞW+D Tall WD05 LV X1",
"6008468","ｴｱﾌﾞﾚｰﾄﾞW+D Wall WD06 LV  X1",
"6008960","ｽｳｨﾝｺﾞ 2100ﾏｲｸﾛ X1",
"T50769","ﾌｫｰﾑｶﾞﾝS CTN/6",
"6010509","ﾀﾞﾝﾌﾟHDﾓｯﾌﾟｱｵ 40 5X4",
"6010517","ﾀﾞﾝﾌﾟHDﾓｯﾌﾟｱｶ 40 5X4",
"6013110","S20",
"6013806","TASKI ｳﾙﾄﾗﾌﾟﾗｽ ｲﾝﾃﾘｱﾓｯﾌﾟﾊﾝﾄﾞﾙ",
"6013814","TASKI ｳﾙﾄﾗﾌﾟﾗｽ ﾓｯﾌﾟﾊﾝﾄﾞﾙ",
"6013822","TASKI ｳﾙﾄﾗﾌﾟﾗｽ ﾓｯﾌﾟﾌﾚｰﾑ25",
"6013831","TASKI ｳﾙﾄﾗﾌﾟﾗｽ ﾓｯﾌﾟﾌﾚｰﾑ40",
"6013849","TASKI ｳﾙﾄﾗﾌﾟﾗｽ ﾓｯﾌﾟﾌﾚｰﾑ60",
"6017903","ｼｬﾘｵｽﾀｰﾊﾞｷｭｰﾑ34E",
"6019600","TASKIｳﾙﾄﾗﾌﾟﾗｽｲﾝﾃﾘｱﾓｯﾌﾟX5",
"6019845","ﾂｲｽﾀｰｽｸｴｱｰｸﾞﾘｰﾝﾊﾟｯﾄﾞ20 X2",
"6019853","ﾂｲｽﾀｰｽｸｴｱｰﾚｯﾄﾞﾊﾟｯﾄﾞ20 X2",
"6019861","ﾂｲｽﾀｰｽｸｴｱｰSCﾊﾟｯﾄﾞ20 X2",
"6019870","ﾂｲｽﾀｰｽｸｴｱｰSGﾊﾟｯﾄﾞ20 X2",
"6019888","ﾂｲｽﾀｰｽｸｴｱｰﾎﾜｲﾄﾊﾟｯﾄﾞ20 X2",
"6019896","ﾂｲｽﾀｰｽｸｴｱｰｲｴﾛｰﾊﾟｯﾄﾞ20 X2",
"6022884","ｴｱﾛ8",
"6022892","ｴｱﾛ8ﾌﾟﾗｽ",
"6026586","ｽﾀﾝﾀﾞｰﾄﾞﾌﾞﾗｼ 14",
"6026594","ﾊﾟｯﾄﾞﾀﾞｲ 14IN",
"6035263","●ﾑｰﾝﾋﾞｰﾑ3",
"6035271","●ﾑｰﾝﾋﾞｰﾑ3 UVCﾊﾞﾙﾌﾞｾｯﾄ",
"6035280","●ﾑｰﾝﾋﾞｰﾑ3 ｾﾝﾄﾘｰ",
"6042439","ﾛﾎﾞｽｸﾗﾌﾞ20 X1",
"6050623","T-Mop40 X1",
"6050640","Duel 244NX  X1",
"6050666","Duel 1840NX X1",
"6051298","Aero 3500 micro  X1",
"6057622","NX300 2ﾚﾝｼﾞｭｳﾃﾞﾝｷ X1",
"6059222","ｽｳｨﾝｺﾞ 455B Li X1",
"6062771","ｱﾙﾃｨﾏｯｸｽ 1900SD43 X1",
"6062780","ｱﾙﾃｨﾏｯｸｽ 1900SD43Li X1",
"6062798","ｱﾙﾃｨﾏｯｸｽ 1900SD50 X1",
"6062801","ｱﾙﾃｨﾏｯｸｽ 1900SD50Li X1",
"6068170","Duel 244NX X1 ﾁｬｰｼﾞｬｰﾚｽ",
"6068188","Duel 1840NX X1  ﾁｬｰｼﾞｬｰﾚｽ",
"6070368","ｽｸﾗﾌﾞﾏｯｸｽ B30 X1",
"6070376","ｽｸﾗﾌﾞﾏｯｸｽ B30Li X1",
"6070384","ｽｸﾗﾌﾞﾏｯｸｽ B45Li X1",
"3019","T G                18LTX1",
"3668","ADJ汎用ﾜﾂｸｽ 2 18LTX1",
"604020","BI ﾆｭｰﾄﾗﾌﾚｯｼｭ",
"741010","BINT FT-100 SOLUTION 25%",
"4353","DJﾋﾞﾂｸﾞﾍﾞｱｰDX BIB  18LTX1",
"7014","ｼﾞﾕｼﾜﾂｸｽｴｸｾﾚﾝﾄ(BIB)18LTX1",
"3617","ｼﾞﾑ ｴｰｽ            18LTX1",
"4147","ﾊﾟﾜｰﾌﾙﾋﾞｶ 18LX1",
"4357","(ﾑﾘﾝ) ﾋﾞｯｸﾞ ﾍﾞｱ    18LTX1",
"7094","ﾕｶﾖｳｼﾞﾕｼﾜﾂｸｽ     1LTX12",
"7096","ﾕｶﾖｳｼﾞﾕｼﾜﾂｸｽ     18LTX1/BIB",
"3597","ｸﾞﾗﾝﾌﾟﾘ            18LTX1",
"3667","ADJ汎用ﾜｯｸｽ 18LX1",
"3427","ADJ高濃度ﾜﾂｸｽ 18LTX1",
"13057","ｺﾝｸﾘｰﾄ ｼｰﾗｰ        18LTX1",
"13087","ｽﾄｰﾝ ﾗｲﾌ ｺｰﾄ       18LTX1",
"13617","ｱｲﾛﾌｵｰﾑ PS515 18LT",
"13618","ｱｲﾛﾌｵｰﾑ PS515  200LT",
"14097","ｱｲﾛﾌｵｰﾑ PS514  18LT",
"26057","ﾌﾞﾚｰｸｱﾂﾌﾟ S        18LTX1",
"600050","BI ｼﾔｲﾝﾎﾟﾘｯｼｭ（ｼｬｲﾝ ｱﾂﾌﾟ)",
"603010","BI T.G",
"603200","BI ｴﾚｯｸｽ",
"603600","BI ﾉﾝﾊﾞﾌ",
"603610","BI ｼﾞﾑｴｰｽ",
"604140","BI ﾆｭｰﾊﾟﾜｰﾌﾙﾋﾞｶ",
"604200","BI ﾊﾞｽｼｬｲﾝ",
"604210","BI ｸﾞﾘﾄﾞﾙｸﾘｰﾅｰ",
"604310","BI ｽﾄｰﾝﾗｲﾌｸﾘｰﾅｰ",
"604350","BI 無ﾘﾝﾋﾞｯｸﾞﾍﾞｱ",
"604360","BI ｶｰﾍﾟｹｱﾆｭｰﾌﾟﾚｯﾌﾟ",
"604370","BI ｶｰﾍﾟｹｱﾘﾝｻｰ",
"604380","BI ﾌｫﾜｰﾄﾞﾉﾝﾘﾝｽ",
"604390","BI ｶｰﾍﾟｹｱﾆｭｰｼｬﾝﾌﾟｰ",
"605050","BI J･ｼｮｯﾌﾟ500",
"605060","BI J･ｼｮｯﾌﾟ600",
"612980","BI ﾍﾞｰｼｯｸ･ｺｰﾄ",
"613050","BI ｺﾝｸﾘｰﾄｼｰﾗｰ",
"613080","BI ｽﾄｰﾝﾗｲﾌｺｰﾄ",
"613610","BI ｱｲﾛﾌｵｰﾑPS515 (W-5015)",
"614090","BI ｱｲﾛﾌｵｰﾑPS514 (ﾜｯｸｽﾌﾟﾚｰﾄ14)",
"616020","BI ｸﾞﾗﾝｽﾘｷｯﾄﾞ",
"616110","BI ﾀﾞｽﾄ ｷｰﾊﾟｰ",
"626050","BI★ ﾌﾞﾚｰｸｱｯﾌﾟS",
"721010","BINT ｱｴﾝﾀﾝｻﾝ",
"751060","BINT ｶｰﾎﾞﾎﾟｰﾙ 940 ﾚｼﾞﾝ",
"751030","BINT B-50ﾚｼﾞﾝ 28%溶液",
"16381","ﾄｳｲﾝｸﾙ ｼﾙﾊﾞｰ 124GRX12",
"16371","ﾄｳｲﾝｸﾙ ｺﾂﾊﾟｰ 124GRX12",
"604230","BI ★ ﾆｭｰ ｷｯﾁﾝｸﾘｰﾅｰ",
"612660","BI ★ｱﾙｺｰﾙ除菌剤EX",
"16089","ﾁｭｳｾｲﾄｲﾚｸﾘｰﾅｰ    800MLX12",
"616080","BI ﾁｭｳｾｲ ﾄｲﾚｸﾘｰﾅｰ",
"626090","BI ★ｶｯﾄﾊﾞｯｸ",
"603620","BI ﾆｭｰｾﾝﾁｭﾘｱﾝ",
"616040","BI ★ｵﾌﾟﾁﾏﾑ中性",
"604170","BI ﾋﾟｭｱﾚｯﾄ (青)/便座除菌",
"614160","BI ★ｽﾄｱﾌﾞﾚｰｸｱｯﾌﾟS",
"721020","BINT ｲﾝﾀｰ JC-90",
"607090","BI ﾕｶﾖｳｼﾞﾕｼﾜﾂｸｽ",
"26066","ｽｰﾊﾟｰﾌﾞﾚｰｸｱﾂﾌﾟTG  600MLX6",
