"材料品番","材料名","単位","ID"
"941960","CAP ﾉｽﾞﾙｺｯｸ JDCNS (1X1)","EA","2729"
"933120","BTL ﾎｼｻﾞｷ CES-2DHS 2L(N)","EA","2730"
"986850","CTN ﾎｼｻﾞｷ CES-2DHS 2LX6","EA","2731"
"960340","CAP 43ﾊﾟｯｷﾝｱﾘｷｬｯﾌﾟ(2L/5L)","EA","2732"
"941960","CAP ﾉｽﾞﾙｺｯｸ JDCNS (1X1)","EA","2733"
"4559223","BI ST ｺﾝｸ","KG","2734"
"332","BI ｽﾗｲﾀﾞｰ AH2","KG","2735"
"220532","LOR ﾛｰﾘｰ (ﾀﾞｲｽｳｶｸﾆﾝﾉｺﾄ)","EA","2736"
"220526","PLA ｺﾝﾃﾅｹｯｿｸﾊﾞﾝﾄﾞ ﾁｮｳ","EA","2737"
"958958","LBL (ﾏｲﾄﾞ)ﾌｳｲﾝｼｰﾙ 白色","EA","2738"
"721010","BINT ｱｴﾝﾀﾝｻﾝ","KG","2739"
"751030","BINT B-50ﾚｼﾞﾝ 28%溶液","KG","2740"
"362442","ｱｸﾃｨｻｲﾄﾞMV4 (20KG)","KG","2741"
"333305","T.B.E.P. (ﾛｰﾘｰ/IBCｺﾝﾃﾅ)","KG","2742"
"345513","ﾊｲﾃｯｸ E-8200 (1000KG)","KG","2743"
"856510","ｼﾞｮﾝｸﾘﾙ JP-24F (1000KG)","KG","2744"
"336017","ｶｰﾋﾞﾄｰﾙ (ｴﾁﾙｼﾞｸﾞﾘｺｰﾙ) ISO/ﾛｰﾘｰ","KG","2745"
"880561","ｷｬﾌﾟｽﾄｰﾝFS-60(199.76KG)","KG","2746"
"336700","WATER","KG","2747"
"852585","*KM-73E (17KG)*","GM","2748"
"336013","ﾒﾁﾙﾌﾟﾛﾋﾟﾚﾝｼﾞｸﾞﾘｺｰﾙ(MFDG) ｼﾞｮｳﾋ","KG","2749"
"362442","ｱｸﾃｨｻｲﾄﾞMV4 (20KG)","KG","2750"
"333305","T.B.E.P. (ﾛｰﾘｰ/IBCｺﾝﾃﾅ)","KG","2751"
"4326059","SER-AD FX511(DAPRO) (195KG)*13","KG","2752"
"853330","ｼﾝﾄﾗﾑ 1560(150KG) *12*","KG","2753"
"853610","ｼﾝﾄﾗﾑ PA-1445(204.1KG) *12*","KG","2754"
"345620","JP-7223A/ｱﾛﾝ FP-92 (1000KG)","KG","2755"
"3401635","ﾌﾟﾗｲﾏﾙ B-924 (1000KG)","KG","2756"
"336017","ｶｰﾋﾞﾄｰﾙ (ｴﾁﾙｼﾞｸﾞﾘｺｰﾙ) ISO/ﾛｰﾘｰ","KG","2757"
"336025","ｴｸﾀｿﾙﾌﾞ EEH(181.4KG) *3*","KG","2758"
"880562","ｷｬﾌﾟｽﾄｰﾝFS-65(18.16KG)類似注","KG","2759"
"852585","*KM-73E (17KG)*","GM","2760"
"336700","WATER","KG","2761"
"336013","ﾒﾁﾙﾌﾟﾛﾋﾟﾚﾝｼﾞｸﾞﾘｺｰﾙ(MFDG) ｼﾞｮｳﾋ","KG","2762"
"2287578","TPL 共通ﾊﾟﾚｯﾄ積用･段ﾊﾟｯﾄ","EA","2763"
"2886351","CAP KC50420(10･12.5L共用)","EA","2764"
"958955","LBLｾﾝｼﾞｮｳｷﾌｳｲﾝｼｰﾙ ｱｵ ｼｰﾄ","EA","2765"
"911490","LBL ｳｨﾝﾀｰﾊﾙﾀｰD-10A 10Lﾛｰﾙ","EA","2766"
"4550499","BI ﾌﾟﾛｽﾍﾟｼｬﾙ ﾐﾗｺｰﾙ","KG","2767"
"920780","BTL 10L ﾍﾝﾍﾟｲﾅﾁｭﾗﾙ（ﾊﾞｰｼﾞﾝ","EA","2768"
"4999683","BI ﾆﾎﾝｼｮｯｹﾝｵｲﾙｸﾘｰﾅｰ","KG","2769"
"933310","BTL ﾆﾎﾝｼｮｸｹﾝｵｲﾙｸﾘｰﾅ- 100ML","EA","2770"
"3344693","CAP THｷｬｯﾌﾟ 白(ﾘﾝｾｰﾄﾞ)","EA","2771"
"3344706","CAP S用 2.5径穴明栓(ﾘﾝｾｰﾄﾞ","EA","2772"
"987180","CTN 100MLX100ﾑｼﾞﾆﾎﾝｼｮｸｹﾝﾖｳ","EA","2773"
"987190","PAD 100MLX100ﾆﾎﾝｼｮｸｹﾝﾖｳﾊﾟｯﾄ","EA","2774"
"911440","LBL ﾆﾎﾝｼｮｸｹﾝｵｲﾙｸﾘｰﾅ- 100ML","EA","2775"
"2886351","CAP KC50420(10･12.5L共用)","EA","2776"
"958955","LBLｾﾝｼﾞｮｳｷﾌｳｲﾝｼｰﾙ ｱｵ ｼｰﾄ","EA","2777"
"911550","LBL ﾃﾞﾀｰﾌｧｲﾝRC 12.5KGﾛｰﾙ","EA","2778"
"5375338","BI ★ﾃﾞﾀｰﾌｧｲﾝ RC","KG","2779"
"2287578","TPL 共通ﾊﾟﾚｯﾄ積用･段ﾊﾟｯﾄ","EA","2780"
"932550","BTL 10Lﾍﾝﾍﾟｲﾎﾞﾄﾙ ｱｵ","EA","2781"
"900000","DRM 充填機液回収ﾄﾞﾗﾑ","EA","2782"
"3045221","CAP KC60550(20L共用)","EA","2783"
"959960","LBLｾﾝｼﾞｮｳｷﾌｳｲﾝｼｰﾙ ｱｵ ﾛｰﾙ","EA","2784"
"911540","LBL ﾃﾞﾀｰﾌｧｲﾝRC 25KGﾛｰﾙ","EA","2785"
"5375338","BI ★ﾃﾞﾀｰﾌｧｲﾝ RC","KG","2786"
"2287578","TPL 共通ﾊﾟﾚｯﾄ積用･段ﾊﾟｯﾄ","EA","2787"
"932540","BTL 20Lﾍﾝﾍﾟｲﾎﾞﾄﾙ ｱｵ","EA","2788"
"900000","DRM 充填機液回収ﾄﾞﾗﾑ","EA","2789"
"336701","BINT ｲｵﾝ交換水","KG","2790"
"821876","■ﾍﾙｼｬｽ CU (1KG)","KG","2791"
"821877","ﾀｳﾘﾝ (20KG)","KG","2792"
"861095","*10%ﾋﾞﾄﾚｯｸｽ(ｴﾀﾉｰﾙ) (163G)*","GM","2793"
"5998762","*薄荷白油 (1000GM)*","GM","2794"
"861032","■ｴﾀﾉｰﾙ95%(STERLING)815KG","KG","2795"
"2885586","CTN BIB 共通ｻｲﾄﾞﾋﾟｰｽ ﾛｺﾞ無","EA","2796"
"963330","FLM BIB 18Lﾊﾟﾜ-ｼｭﾘﾝｸ13280=20ﾎﾝ","EA","2797"
"3020103","OTH共通BIB用PPﾊﾞﾝﾄﾞ(ｱｵ)","EA","2798"
"4522383","BI ｸﾞﾘｰﾝﾌﾟﾗｽ ﾜｯｸｽ","KG","2799"
