R5531004,,,,,,,,CxS Corporation,,,,,,,,,25/02/19, 4:30:13
,,,,,,,,充填予定表,,,,,,,,,Page -,1
製造/ 充填,,生産日,ﾜｰｸｾﾝﾀｰ 番号,ﾜｰｸｾﾝﾀｰ名,,,,品番,,品名,,,,生産 予定数,,人員,ｵｰﾀﾞｰ No.,Work Order Status
           F,,25/02/26,      200400,JP#4　バッグインボックス,,,,6043191,,ｺｳﾀｸｵｳ ﾌﾟﾗｽC 18LX1,,,,966,,3.0,33575207,20
           F,,25/02/26,      200601,F&B 充填#6A　<20L,,,,DS020723,,*AKｸﾘｰﾝｺｳｷﾚｰﾄｱﾙｶﾘｾﾝｼﾞｮｳｻﾞｲ20K*,,,,100,,2.0,33577192,20
           F,,25/02/26,      200601,F&B 充填#6A　<20L,,,,DS020738,,*ｻﾆﾀｽ ﾏﾙﾁｸﾘｰﾝ 24KGX1 PN*,,,,300,,2.0,33577194,20
           F,,25/02/26,      200601,F&B 充填#6A　<20L,,,,DS030622,,ｽﾗｲﾀﾞｰ TP 17KGX1 CN,,,,100,,1.0,33581466,20
           F,,25/02/26,      200602,"F&B 充填#6B　DM, C/T",,,,DS020739,,*ﾀﾞｲｷﾚｰﾄRF1 1000KGX1 CT ｶｷﾞﾂｷ*,,,,3,,1.0,33575102,20
           F,,25/02/26,      200602,"F&B 充填#6B　DM, C/T",,,,DS030651,,ｽﾗｲﾀﾞｰ TP 450KGX1 CT,,,,5,,1.0,33575103,20
           F,,25/02/26,      200700,JP#7　大容量プラボトル,,,,T41923,,JWS-10DHG 10LX1,,,,648,,4.0,33573036,20
           F,,25/02/26,      200700,JP#7　大容量プラボトル,,,,T471940,,ﾃﾞﾀｰｸﾘｰﾝLK 12KGX2,,,,124,,5.0,33573045,20
           F,,25/02/26,      200700,JP#7　大容量プラボトル,,,,3671643,,ｱﾌﾞﾗﾖｺﾞﾚｵﾄｼｾﾝｻﾞｲ  20KGX1,,,,162,,3.0,33573030,20
           F,,25/02/26,      200700,JP#7　大容量プラボトル,,,,6013881,,ｱﾝﾓﾆｱｸﾘｱ 10LBIBx1,,,,150,,3.0,33575044,20
           F,,25/02/26,      200800,JP#8　ドラム/コンテナ,,,,T38746,,●ﾕｼｾﾝｻﾞｲ(ﾆｭｰﾚﾝｼﾞｸﾘｰﾅ)1000KG,,,,4,,1.0,33575112,20
           F,,25/02/27,      200100,JP#1　5Lプラボトル,,,,T14006,,ｺﾝｸｴｺ 5KGX2,,,,1560,,4.0,33573051,20
           F,,25/02/27,      200100,JP#1　5Lプラボトル,,,,T30012,,*BR5512Sﾘｷｯﾄﾞ 5LX3*,,,,256,,4.0,33575163,20
           F,,25/02/27,      200100,JP#1　5Lプラボトル,,,,T30345,,ｵｲﾙﾊﾞｽﾀｰ ｽﾄﾚｰﾄ 5LX3,,,,491,,4.0,33575165,20
           F,,25/02/27,      200100,JP#1　5Lプラボトル,,,,T34801,,PS ﾉｳｼｭｸﾁｭｳｾｲｾﾝｻﾞｲ 5KGX3,,,,300,,4.0,33573048,20
           F,,25/02/27,      200201,JP#2A 20Lプラボトル,,,,DS020764,,ｻﾆﾀｽﾀｲｻﾞｰ A1 20KGX1 PN,,,,1000,,2.0,33573099,20
           F,,25/02/27,      200201,JP#2A 20Lプラボトル,,,,T20212,,ﾌﾟﾛｾﾝﾃDWｴｷﾀｲｾﾝｻﾞｲMA 24KGX1,,,,847,,2.0,33575222,20
           F,,25/02/27,      200300,JP#3B　小容量プラボトル,,,,T306100,,*ﾃｯﾊﾟﾝｸﾘｰﾅｰ 1KGX6*,,,,495,,5.0,33575114,20
           F,,25/02/27,      200601,F&B 充填#6A　<20L,,,,DS020346,,ﾀﾞｲｷﾚｰﾄ N5L1 20KGX1 PN,,,,150,,2.0,33575070,20
           F,,25/02/27,      200601,F&B 充填#6A　<20L,,,,DS020722,,*ﾀﾞｲｷﾚｰﾄ RF401 20KGX1 PN*,,,,300,,2.0,33575096,20
           F,,25/02/27,      200601,F&B 充填#6A　<20L,,,,2DS020635,,*ﾀﾞｲｷﾚｰﾄHDS 20KGX1 PN*,,,,200,,2.0,33575085,20
           F,,25/02/27,      200602,"F&B 充填#6B　DM, C/T",,,,2DS020652,,*ﾀﾞｲｷﾚｰHDS 1TX1 CT ｶｷﾞﾂｷ*,,,,10,,1.0,33575086,20
           F,,25/02/27,      200700,JP#7　大容量プラボトル,,,,T26252,,ﾆｭｰﾃﾞｭﾄﾞﾗｲ 10LX1,,,,586,,4.0,33575218,20
           F,,25/02/27,      200700,JP#7　大容量プラボトル,,,,T40235,,ｳｲﾝﾀｰPR-5 5LX2,,,,96,,4.0,33575220,20
           F,,25/02/27,      200700,JP#7　大容量プラボトル,,,,2T20163,,ｵﾌﾟﾁﾌｧｲﾝ163 5KGX2,,,,48,,5.0,33579396,20
           F,,25/02/27,      300200,A03ﾗﾍﾞﾙ貼り,,,,5276292,,ｵｷｼｳﾞｨﾙ ﾌｧｲﾌﾞ 1.5LX2,,,,176,,1.0,33575188,30
           F,,25/02/28,      200100,JP#1　5Lプラボトル,,,,T20176,,ﾃﾞﾀｰﾌｧｲﾝｺﾝｸLM 6KGX3,,,,1348,,4.0,33573116,20
           F,,25/02/28,      200100,JP#1　5Lプラボトル,,,,T30305,,ｻﾆｯｼｭ　5LX3,,,,1541,,4.0,33575140,20
           F,,25/02/28,      200200,JP#2　18Lペール缶,,,,6039643,,ｽｰﾊﾟｰﾘﾑｰﾊﾞｰﾌﾟﾛEX 18LX1,,,,544,,2.0,33575228,20
           F,,25/02/28,      200300,JP#3B　小容量プラボトル,,,,T35101,,ｳｲﾙｽｳｫｯｼｭ 2LX6,,,,623,,4.0,33575377,20
           F,,25/02/28,      200601,F&B 充填#6A　<20L,,,,DS020311,,*ﾀﾞｲｷﾚｰﾄ ML-1 24KGX1 PN*,,,,200,,2.0,33575067,20
           F,,25/02/28,      200601,F&B 充填#6A　<20L,,,,DS020312,,*ﾌﾟﾗｽｴｸｽ 24KGX1 PN*,,,,200,,2.0,33575068,20
