R5531004,,,,,,,,CxS Corporation,,,,,,,,,25/02/12, 2:52:44
,,,,,,,,充填予定表,,,,,,,,,Page -,1
製造/ 充填,,生産日,ﾜｰｸｾﾝﾀｰ 番号,ﾜｰｸｾﾝﾀｰ名,,,,品番,,品名,,,,生産 予定数,,人員,ｵｰﾀﾞｰ No.,Work Order Status
           F,,25/02/18,      200603,F&B 充填#6D　ﾛｰﾘｰ,,,,DS020265,,●*ﾀﾞｲｷﾚｰﾄ GS ﾛｰﾘｰ*,,,,4000,,1.0,33575130,20
           F,,25/02/18,      200700,JP#7　大容量プラボトル,,,,T24968,,●ﾋﾏﾜﾘｾﾝｻﾞｲｾﾝﾖｳﾘﾝｽｻﾞｲ 5KGX3,,,,200,,5.0,33568969,20
           F,,25/02/18,      200700,JP#7　大容量プラボトル,,,,T262410,,ﾄﾞﾗｲｲｯﾄ 5LX2,,,,192,,5.0,33575236,20
           F,,25/02/18,      200700,JP#7　大容量プラボトル,,,,T26243,,ﾄﾞﾗｲｲｯﾄ 10LX1,,,,211,,4.0,33575230,20
           F,,25/02/18,      200700,JP#7　大容量プラボトル,,,,T30320,,ｻﾆｯｼｭ　20LX1,,,,250,,3.0,33573064,20
           F,,25/02/18,      200700,JP#7　大容量プラボトル,,,,T41921,,JWR-10DHD 10LX1,,,,96,,4.0,33575231,20
           F,,25/02/18,      200700,JP#7　大容量プラボトル,,,,T461220,,●MDｼｮｯｷｾﾝｼﾞｮｳｷﾖｳﾘﾝｽｻﾞｲ5KGX4,,,,96,,5.0,33575232,20
           F,,25/02/18,      200700,JP#7　大容量プラボトル,,,,T471940,,ﾃﾞﾀｰｸﾘｰﾝLK 12KGX2,,,,440,,5.0,33573043,20
           F,,25/02/18,      200900,JP#9　オフライン,,,,T40025P,,5Lﾎﾞﾄﾙ用ｷｬｯﾌﾟ(1000)1PX1,,,,1000,,1.0,33573054,20
           F,,25/02/18,      300100,マシン外注組立,,,,6013831,,TASKI ｳﾙﾄﾗﾌﾟﾗｽ ﾓｯﾌﾟﾌﾚｰﾑ40,,,,500,,1.0,33575254,30
           F,,25/02/18,      300100,マシン外注組立,,,,6068170,,Duel 244NX X1 ﾁｬｰｼﾞｬｰﾚｽ,,,,20,,1.0,33575170,30
           F,,25/02/18,      300200,A03ﾗﾍﾞﾙ貼り,,,,T35632,,TASKI R3 PLUS 2LX2,,,,64,,1.0,33575195,30
           F,,25/02/18,      300200,A03ﾗﾍﾞﾙ貼り,,,,5327213,,ｼｸﾞﾆﾁｬｰ 18.9LX1,,,,208,,1.0,33575190,30
           F,,25/02/19,      200100,JP#1　5Lプラボトル,,,,T14006,,ｺﾝｸｴｺ 5KGX2,,,,1074,,4.0,33573050,20
           F,,25/02/19,      200100,JP#1　5Lプラボトル,,,,T15040,,ﾃｨｰﾎﾟｰﾙﾌﾞﾙｰﾅﾁｭﾗﾙC 5KGX2,,,,514,,4.0,33575027,20
           F,,25/02/19,      200100,JP#1　5Lプラボトル,,,,T34801,,PS ﾉｳｼｭｸﾁｭｳｾｲｾﾝｻﾞｲ 5KGX3,,,,450,,4.0,33573047,20
           F,,25/02/19,      200100,JP#1　5Lプラボトル,,,,T41815,,ﾃｨｰﾎﾟｰﾙｸﾞﾘｰﾝ 5Lx3,,,,300,,4.0,33575023,20
           F,,25/02/19,      200201,JP#2A 20Lプラボトル,,,,DS020790,,ｻﾆﾀｽｵｲﾙｸﾘｰﾝ 22KGX1 PN,,,,454,,3.0,33573103,20
           F,,25/02/19,      200201,JP#2A 20Lプラボトル,,,,T47195,,ﾃﾞﾀｰｸﾘｰﾝLK 24KGX1,,,,320,,3.0,33579461,20
           F,,25/02/19,      200300,JP#3B　小容量プラボトル,,,,T10224,,ﾃｨｰﾎﾟｰﾙｺﾝｸK 2KGX6,,,,216,,4.0,33573052,20
           F,,25/02/19,      200400,JP#4　バッグインボックス,,,,5996767,,ｸﾘｱｽﾀｰ18L BIB,,,,803,,3.0,33575174,20
           F,,25/02/19,      200601,F&B 充填#6A　<20L,,,,DS020421,,ﾊﾟﾝｸﾘｰﾅ PN 20KGX1 PN,,,,100,,2.0,33575072,20
           F,,25/02/19,      200601,F&B 充填#6A　<20L,,,,DS020480,,*ﾀﾞｲｷﾚｰﾄ ML3 20KGX1 PN*,,,,100,,2.0,33575076,20
           F,,25/02/19,      200602,"F&B 充填#6B　DM, C/T",,,,DS020732,,ﾊﾟﾝｸﾘｰﾅ PN 1000KGX1 CT,,,,2,,1.0,33575097,20
           F,,25/02/19,      200603,F&B 充填#6D　ﾛｰﾘｰ,,,,DS020481,,●*ﾀﾞｲｷﾚｰﾄ ML3 ﾛｰﾘｰ*,,,,10000,,1.0,33575075,20
           F,,25/02/19,      200700,JP#7　大容量プラボトル,,,,T14000,,ﾃｨｰﾎﾟｰﾙｸﾞﾘｰﾝ 10KGx2,,,,320,,5.0,33573111,20
